id_item;pontuacao;identificador;texto;id_questao
25;1;A;Uma descrição da influência da topografia nos processos de urbanização de bairros da cidade.;7
26;4;B;A paisagem em mutação sobretudo nos subúrbios da cidade do Rio de Janeiro.;7
27;5;C;Uma diversidade que forma um conjunto novo – a moradia das camadas populares – que ficava estampada na arquitetura e na disposição de ruas e casas, que casualmente se agrupam.;7
28;0;D;Por se tratar de um texto literário, há poucas informações sobre os aspectos urbanos da cidade.;7
29;1;A;Trata-se de um documento que possui texto impresso, texto manuscrito e imagem.;8
30;5;B;A imagem de senhores e de escravos era utilizada porque muitas pessoas não alfabetizadas poderiam mesmo assim reconhecer que se tratava de um ato de compra e venda.;8
31;0;C;Não é um contrato comercial.;8
32;4;D;É um documento que comprova que a propriedade de escravos era regida por lei.;8
33;5;A;Trata-se de uma charge que satiriza um sentimento patriótico que o governo militar queria difundir.;9
34;0;B;Mostra que aqueles que se submetiam ao regime seriam expulsos do país.;9
35;1;C;Trata-se de uma charge de autoria de Ziraldo publicada no jornal Pasquim de 1970.;9
36;4;D;A figura central da charge representa os poderes dominantes do Brasil naquela época.;9
37;4;A;o governo de Getúlio Vargas (1930-1945) empenhou-se em registrar o bando de Lampião derrotado e degolado.;11
38;0;B;o bando de Lampião não se enquadra na noção de banditismo social, proposta por Eric Hobsbawm.;11
39;5;C;a fotografia, que exibe as cabeças dos cangaceiros e os chapéus e outros objetos adornados, foi encomendada pelo governo baiano e de Getúlio Vargas.;11
40;1;D;o cangaço é um grande tema literário e audiovisual no Brasil do século XX.;11
41;1;A;os dois textos se referem a um conjunto diversificado de hábitos de alimentação em diferentes regiões do Brasil nas primeiras décadas do século XIX.;12
42;4;B;os textos dos viajantes estrangeiros nos informam como viviam nossos antepassados e os costumes característicos desta época.;12
43;5;C;a vida cotidiana em partes distintas do Brasil indica as diferenças de economia, sociedade e cultura entre as vilas rurais do interior e os padrões burgueses europeizados.;12
44;0;D;os viajantes estrangeiros estavam mais interessados na economia brasileira do que em mostrar costumes nacionais.;12
45;1;A;a morte de Solano Lopez foi descrita como um grande feito brasileiro.;13
46;0;B;o autor via como diabólica a participação brasileira na guerra.;13
47;4;C;para o autor a guerra do Paraguai foi uma batalha contra a tirania de um governante cruel.;13
48;5;D;a descrição do líder paraguaio como um monstro ajudou a construir a imagem do Brasil como o de libertador daquela nação.;13
49;4;A;o documento refere-se à justificativa para a invasão holandesa no Brasil.;14
50;1;B;o documento indica interesse comercial holandês pelo Brasil.;14
51;0;C;a região setentrional à qual o documento se refere é a atual região Norte do país.;14
52;5;D;além do açúcar, havia vários interesses marítimo-comerciais dos holandeses incluindo a desmontagem do domínio português.;14
53;4;A;o texto e a imagem tratam dos impactos gerados pelo automóvel. A crônica de João do Rio descreve o contraste entre um equipamento moderno e uma cidade antiga.;15
54;5;B;no texto há uma concepção pessimista das transformações promovidas pelo automóvel. A imagem da propaganda apresenta uma visão positiva do uso de diferentes meios automotivos de transporte.;15
55;4;C;o tom otimista utilizado na propaganda caracteriza o desenvolvimentismo da Era JK.;15
56;0;D;no texto e na imagem automóvel e as estradas são descritos como elementos geradores de riqueza.;15
57;4;A;o texto refere-se ao conjunto de punições físicas que caracterizavam o cotidiano dos marinheiros brasileiros no século XIX até os inícios do XX.;16
58;0;B;O Bom-Crioulo é um romance sobre um escravo forte e acostumado aos castigos físicos.;16
59;1;C;a Revolta da Chibata ocorrida em 1910 foi um levante dos marinheiros contra este tipo de disciplina e punição.;16
60;5;D;neste texto literário há uma construção da figura do “bom crioulo” como tipo social no qual se opõem a força à mansidão e à resignação de caráter.;16
61;0;A;a metrópole colonial possuía vários portos importantes no território brasileiro, mas estavam todos em situação precária.;17
62;5;B;Portugal havia estabelecido colônias em diversos territórios durante as Grandes Navegações, que se viam ameaçados por outros impérios coloniais.;17
63;1;C;o autor do texto alerta que as posses portuguesas, ainda que ricas, passavam por dificuldades.;17
64;4;D;no século XVII, o Brasil já era uma colônia importante do mundo português.;17
65;1;A;os trabalhadores são retratados como potencialmente radicais e extremados.;18
66;0;B;as relações entre trabalhadores e patronato eram marcadas pelo diálogo e entendimento.;18
67;4;C;a organização e mobilização operárias eram meios fundamentais para o movimento operário alcançar seus objetivos.;18
68;5;D;as greves dos trabalhadores de diferentes categorias, que marcaram o período entre 1917-1920, foram ponto alto da história do movimento operário na Primeira República.;18
69;1;A;de acordo com a notícia, a maioria das mulheres brasileiras na década de 1920 não tinham direito ao voto.;19
70;1;B;a Federação Brasileira pelo Progresso feminino fazia uma intensa campanha para assegurar às mulheres brasileiras o direito universal ao voto.;19
71;5;C;os direitos políticos das mulheres eram considerados fundamentais para a sua emancipação política.;19
72;0;D;as feministas de 1928, assim como hoje em dia, defendiam a igualdade entre homens e mulheres.;19
73;1;A;o diálogo mostra visões de mundo muito diferentes em relação a temas como a natureza, o comércio, herança e riqueza.;21
74;5;B;ao falar em “maírs” e “perôs”, o tupinambá mencionava franceses e portugueses, que disputavam a exploração da região.;21
75;4;C;pelo diálogo, podemos perceber indígenas e europeus em negociação, numa imagem distante da tradicional, marcada apenas por conflitos e destruição.;21
76;0;D;o diálogo nos mostra como, em suas origens, os indígenas têm um modo de vida nômade, caçador e coletor, pouco afeito ao trabalho e ao cuidado com seus descendentes.;21
77;1;A;os chefes de família dos colonos que formavam estes grupos declaravam sua idade, estado civil, profissão, religião e local de origem.;22
78;0;B;eram exclusivamente famílias numerosas, condição necessária para o trabalho agrícola.;22
79;5;C;entre eles encontravam-se profissionais e artesãos de ofícios essenciais à vida cotidiana das pequenas comunidades rurais.;22
80;4;D;a experiência da imigração para o Brasil é um tema que antecede o advento da República.;22
81;5;A;o texto põe em questão a representação historiográfica que caracteriza essa conjura como exclusivamente popular.;23
82;1;B;os homens de “consideração” envolvidos no movimento ocorrido em Salvador livraram-se das acusações culpando seus escravos.;23
83;0;C;não havia distinção social entre os envolvidos na Conjuração Baiana.;23
84;3;D;os revoltosos colocaram em pauta uma discussão sobre revolução, república, democracia e os panfletos foram uma forma de comunicação importante.;23
85;5;A;o texto, publicado na revista oficial dos integralistas – Anauê - traz impresso um forte sentimento nacionalista.;24
86;0;B;o partido integralista tinha como seu maior aliado o presidente Getúlio Vargas, que também era defensor da Aliança Nacional Libertadora (ANL).;24
87;4;C;a Ação Integralista Brasileira (AIB) foi criada por Plínio Salgado e se caracterizava pelo combate ao comunismo e ao liberalismo econômico.;24
88;4;D;os integralistas utilizavam uma série de símbolos característicos, como camisas de cor verde-oliva. “Anauê” era a forma como se saudavam.;24
89;4;A;descreve a exploração das minas e a intensa movimentação étnica e social para a região da mineração no início do século XVIII.;25
90;1;B;relaciona o surto econômico mineiro ao povoamento da região.;25
91;0;C;indica que o ouro não era suficiente para enriquecer todo o fluxo migratório.;25
92;5;D;apresenta diferentes relações de trabalho indicando que a escravidão não era a única forma de exploração da riqueza do local.;25
93;1;A;a ausência de princípios democráticos durante a ditadura militar (1964-1985) era um elemento de desmando e fonte de corrupção.;26
94;4;B;o conceito de corrupção é ampliado ao se identificar com a noção de desrespeito à dignidade humana com o uso da tortura.;26
95;0;C;os militares foram bem sucedidos em coibir a corrupção existente no poder público.;26
96;5;D;corrupção e práticas abusivas podiam ocorrer até mesmo sob o amparo da lei.;26
97;1;A;utiliza texto e imagem para criticar a escravidão do período.;27
98;5;B;mostra o senhor que tenta defender-se da “tempestade do abolicionismo” e ao mesmo tempo impedir que seu escravo veja-a.;27
99;1;C;representa o movimento abolicionista como uma tempestade que se aproxima.;27
100;0;D;mostra que Agostini era a favor da escravidão ao representar as dificuldades enfrentadas pelos senhores.;27
101;1;A;a imagem documentou o momento de aproximação entre o Brasil e os Estados Unidos. Nesse encontro foi decidida a construção de base militar no nordeste brasileiro.;28
102;4;B;a imagem destaca a semelhança física e no vestuário dos presidentes, o que sugeria o alinhamento simétrico entre os dois Estados.;28
103;0;C;no período o Brasil vivia sob o regime do governo provisório de Vargas e começava a se aproximar dos EUA.;28
104;5;D;a aproximação entre Brasil e Estados Unidos é retratada pela imagem em um de seus principais momentos.;28
105;4;A;acima dos problemas de etnia, neste texto transparece o pressuposto do trabalho como meio de ascensão e inserção social.;29
106;5;B;há uma referência aos estereótipos de identidade nacional.;29
107;0;C;“Carcamano” e “pé-de-chumbo” não são indicativos de uma condição social subalterna.;29
108;1;D;indígena e negro são retratados como os “donos da terra”, que aqui já se encontravam quando chegaram os imigrantes.;29
109;5;A;a imagem ironiza uma questão internacional a qual, ao final, deu ganho de causa ao Brasil.;30
110;1;B;o embaixador é representado como o criador de uma situação que o colocava sobre um barril de pólvora prestes a explodir.;30
111;0;C;os leitores da revista podiam ver o embaixador retratado com a solução do problema nas mãos diante do apoio do povo brasileiro.;30
112;4;D;mostra-se um diplomata inábil que colocou a si mesmo e ao seu país numa situação delicada.;30
113;1;A;aos processos de integração e exclusão urbana em duas capitais: Porto Alegre e Fortaleza.;31
114;0;B;a dois processos de urbanização que tinham perspectivas opostas em relação aos mais pobres no início do período republicano.;31
115;4;C;a projetos de modernização das duas capitais que implicavam marginalização de parte da população por suas condições étnicas, sociais e morais.;31
116;5;D;à influência de um ideário de civilização que impregnou as reformas urbanas e sociais no Brasil a partir de fins do século XIX.;31
117;1;A;havia preocupação por parte do governo de D. Pedro II em integrar, através de vias de comunicação, a região norte ao Império brasileiro.;32
118;5;B;no Brasil do século XIX, a justificativa de investimento em áreas de fronteira a serem desbravadas vinha acompanhada do argumento da missão civilizadora.;32
119;4;C;o Visconde de Mauá foi pioneiro empreendedor na construção de estradas de ferro, telégrafo, navegação, indústrias e bancos.;32
120;0;D;correio, transportes de mercadoria e navios a vapor foram fundamentais para garantir o domínio político e comercial na região do Rio Amazonas.;32
121;0;A;seria conveniente que o rei enviasse mulheres para o Brasil, pois havia poucas no território.;33
122;5;B;enviando mulheres da Europa, mesmo as de má reputação, seria evitada a miscigenação com as indígenas.;33
123;4;C;o matrimônio sugerido seria benéfico para os colonos e para as mulheres de “pouco remédio de casamento”.;33
124;1;D;o casamento entre mulheres portuguesas e colonos ajudaria a povoar a terra e daria “remédio à vida” das indesejadas na Europa.;33
125;5;A;o Atlântico sul relacionava a América e a África, logo a formação do Brasil não se restringiu apenas ao binômio Brasil-Portugal.;34
126;4;B;o tráfico de escravos foi um negócio formador do território brasileiro.;34
127;0;C;Angola foi explorada e colonizada por brasileiros.;34
128;1;D;o trabalho compulsório no Brasil colônia foi formado pelo tráfico de escravos africanos e também por “negros da terra”.;34
129;0;A;o Conselho preocupava-se em livrar o governo de três categorias distintas de pessoas: mulatos, indivíduos com deficiências físicas e indivíduos com deficiências morais.;35
130;1;B;o Conselho considerava aptas a ocuparem cargo público apenas as pessoas brancas.;35
131;4;C;tratava-se da lógica da “limpeza de sangue”, ainda vigente na colônia no século XVIII.;35
132;5;D;o pedido do Conselho Ultramarino ao rei indica que era possível que indivíduos mulatos pleiteassem cargos públicos.;35
133;1;A;havia descontentamento dos pernambucanos com o governo de Dom Pedro I.;36
134;5;B;a expressão “corte na Corte” refere-se à vontade separatista.;36
135;0;C;que o descontentamento não era com o Imperador, mas com os políticos que não representavam bem as suas províncias.;36
136;5;D;que a restrita possibilidade de participação no governo de Pedro I justificava o rompimento entre o nordeste e o resto do país.;36
137;4;A;no Brasil não havia equilíbrio entre as unidades político-administrativas.;37
138;5;B;foi um movimento republicano que se inspirava no liberalismo e no federalismo.;37
139;0;C;trata-se de um levante isolado, uma reação pernambucana aos desmandos do Imperador que recebeu a reprovação das outras províncias do norte e nordeste.;37
140;1;D;está inserido em um grupo de movimentos ocorridos no nordeste caracterizados pela contestação e resistência.;37
141;4;A;o uso do trabalho indígena é interpretado de formas diferentes pelo religioso e pelo bandeirante.;38
142;1;B;apesar de proibida, a escravidão indígena era prática corrente em toda a colônia.;38
143;5;C;tanto a posição do jesuíta como a do bandeirante fazem parte de uma mesma lógica: a da colonização.;38
144;0;D;os dois textos consideram que apenas a escravidão pode civilizar os indígenas.;38
145;1;A;o texto articula questões morais e políticas dentro do período da ditadura militar.;39
146;0;B;a decisão pela proibição do beijo na cidade de Sorocaba foi considerada conservadora por todos os grupos sociais do município.;39
147;4;C;as palavras de ordem “Mais beijo, mais pão, abaixo a repressão” transcendiam o contexto local.;39
148;1;D;o movimento pela liberdade de beijar em público foi encabeçado por grupos de jovens sorocabanos.;39
149;5;A;a monarquia brasileira tem no IHGB uma estratégia de recontar o nascimento da nação integrada em um grande território nacional.;41
150;4;B;a unidade territorial do Brasil e seu governo centralizado no Rio de Janeiro correram sérios riscos de ruptura e fragmentação nas décadas de 1830-40.;41
151;0;C;dentre os temas de interesse do IHGB estavam a construção da nação brasileira rompendo com as matrizes portuguesas.;41
152;1;D;fundado em 1838, o IHGB atendia a formação do ideário do estado nacional do Brasil.;41
153;1;A;a independência no quadro de Moreaux valoriza a participação popular enquanto o de Pedro Américo valoriza a importância dos militares.;42
154;4;B;o quadro de Pedro Américo dá ênfase muito maior à centralidade e hierarquia da figura do imperador.;42
155;0;C;a diferença entre os quadros se explica porque Pedro Américo era o pintor oficial da Corte.;42
156;5;D;o quadro de Pedro Américo, assim como o próprio Museu do Ipiranga, consagraram-se como a representação visual da memória oficial.;42
157;4;A;relacionava a Constituição Brasileira à sua própria pessoa, demonstrando a centralização e dominação que caracterizaram o seu governo.;43
158;0;B;dava total liberdade à Assembléia para formular a Constituição a partir das bases democráticas.;43
159;1;C;criticava as constituições de países como a França, Espanha e Portugal, considerando-as impossíveis de se realizarem.;43
160;5;D;criticava os ideais da Revolução Francesa, considerando o despotismo e a anarquia como conseqüências daquele movimento.;43
161;1;A;existe uma pré-história na América do Sul.;44
162;5;B;assim como em outras áreas do conhecimento histórico, uma nova descoberta permite novas interpretações sobre o passado.;44
163;4;C;a datação de Luzia permitiu retroceder a época da presença humana no continente americano.;44
164;0;D;o conhecimento sobre o passado remoto não tem base científica e por isso as datas podem apresentar enormes diferenças.;44
165;4;A;o fortalecimento do Estado implicou uma nova política cultural em relação às regiões, gerando personagens e hábitos “típicos”.;45
166;5;B;a historiadora indica a formação de tipos regionais a partir de 1930 sem, no entanto, afirmar o federalismo como estrutura política.;45
167;1;C;foi no período mencionado que nasceram as divisões regionais do país, tais como as conhecemos hoje.;45
168;0;D;a historiadora indica que não se associava federalismo à possibilidade de guerra civil.;45
169;1;A;mutualismo, assistencialismo e sindicalismo possuíam fins diversos dentro dos objetivos do movimento operário.;46
170;5;B;os traços do mutualismo das primeiras associações persistiram dentro das organizações sindicais.;46
171;4;C;parte da historiografia sobre movimento operário rejeitou a tradição assistencialista por considerá-la prejudicial à causa operária.;46
172;0;D;a classe trabalhadora buscava independência dos tratamentos médicos a ela proporcionados pelo Estado centralizador brasileiro.;46
173;4;A;as interpretações sobre os processos históricos sofrem as influências do tempo em que vivem os historiadores.;47
174;0;B;Brasil e Argentina, a serviço da Grã-Bretanha, são os responsáveis pelo atraso econômico do Paraguai.;47
175;5;C;as explicações históricas são marcadas pelo contexto em que são escritas, e também constantemente reelaboradas.;47
176;1;D;as explicações sobre a Guerra do Paraguai nos anos 1960 e 1970 comportam aspectos políticos, econômicos e diplomáticos.;47
177;1;A;o papel da mídia na divulgação das festas populares.;48
178;4;B;os aspectos locais e internacionais que interagiram na configuração de novas práticas culturais no Brasil.;48
179;0;C;que o verdadeiro patrimônio cultural brasileiro, o samba, perdeu espaço por causa da globalização e dos meios de comunicação.;48
180;5;D;as relações entre cultura nacional e internacional, bem como a idéia de uma cultura popular e de massas.;48
181;4;A;o samba foi construído como o principal produto cultural do país no século passado e atualmente continua sendo importante.;49
182;1;B;os dois Brasis são o Brasil rural e o urbano.;49
183;5;C;mesmo havendo diferentes manifestações culturais, o sentimento nacional caracteriza cada uma das festas citadas.;49
184;0;D;os “dois Brasis” foram superados pela dinâmica cultural que inclui a convivência entre práticas nacional-populares e internacional-populares.;49
185;4;A;indica-se a importância do comércio de animais (muares, gado etc.) na atividade econômica do século XVIII.;50
186;1;B;a denominação dos templos e conventos (Misericórdia, Rosário dos Pretos) indica o grupo identitário a que seus freqüentadores pertenciam.;50
187;0;C;São Paulo no século XVIII, bem menor do que hoje em dia, já possuía uma malha urbana com ruas, igrejas e comércio.;50
188;5;D;já vemos as razões do enorme crescimento da cidade de São Paulo: o comércio com outras regiões do Brasil.;50
189;4;A;São Paulo, no texto descrita com vários detalhes, era no fim do século XVIII muito menor do que Salvador ou Rio de Janeiro.;51
190;5;B;Cardoso de Abreu nos mostra uma São Paulo com forte presença da Igreja católica.;51
191;1;C;a cidade possuía um local de diversão que atendia os diferentes grupos sociais, inclusive os escravos.;51
192;0;D;São Paulo é descrita como “a cabeça da capitania”, não somente por sua riqueza mas por ser local da residência de autoridades.;51
193;5;A;dentre as várias missões científicas destaca-se a Missão Austríaca com os naturalistas Martius e Spix.;52
194;1;B;restam atualmente poucas provas das visitas dos cientistas naturalistas estrangeiros, pois a coleta era proibida.;52
195;0;C;foram criados museus, jardins botânicos e laboratórios, gerando um conhecimento científico de relevo internacional.;52
196;4;D;ao longo do século XIX, foi freqüente o intercâmbio entre cientistas e a comunicação de suas descobertas.;52
197;4;A;filmes e séries de TV que retratam uma época têm também uma historicidade própria.;53
198;0;B;o processo de metropolização/urbanização do Rio de Janeiro entre 1808-21 pode ser interpretado como uma habilidade governativa de D. João.;53
199;5;C;ao se considerar D. João como um glutão, figura tola, se compreende o comentário de Napoleão Bonaparte sobre ele.;53
200;1;D;a transferência da corte foi mais uma estratégia político-diplomática-militar do que uma apressada debandada.;53
201;1;A;em função das Guerras Napoleônicas na Europa e da invasão francesa em Portugal, a Corte portuguesa transferiu-se para o Brasil.;54
202;4;B;re-encenações da chegada da Família real ao Rio de Janeiro servem muito mais ao divertimento do que o conhecimento histórico.;54
203;0;C;a versão caricaturada da monarquia luso-brasileira atendeu ao ideário republicano.;54
204;5;D;O humor na história ativa a reflexão crítica e contribui para o aprofundamento das análises.;54
205;0;A;a monarquia portuguesa teve grande facilidade em governar a Colônia a partir da Corte e de manter a ordem.;55
206;1;B;havia uma massa de gente rebelde em toda parte da América Portuguesa.;55
207;4;C;a cronologia apresentada afirma um conjunto de rebeliões, revoltas e motins que ampliam a visão tradicional.;55
208;5;D;para entender a experiência do viver em colônia é necessário ir além das explicações pautadas nos ciclos econômicos.;55
209;4;A;identifica a cultura de massas como um campo de estudo e pesquisa para o historiador.;56
210;1;B;indica que na década de 1950 havia no Brasil uma importante indústria de entretenimento e comunicação.;56
211;1;C;aponta para as motivações pessoais do historiador ao escolher seu tema de pesquisa.;56
212;5;D;critica a forma como a história popular e o star-system dos anos 50 foram pouco considerados pela historiografia.;56
213;4;A;refere-se às tensões entre a memória sobre o passado e as relações do tempo presente na capital de Pernambuco.;57
214;5;B;indica que a operação da escrita da história também se faz como esquecimento.;57
215;1;C;critica a maneira como é valorizado o imaginário sobre a influência de João Maurício de Nassau no Recife.;57
216;0;D;afirma a independência dos recifenses em relação ao culto de seu passado.;57
217;0;A;os Farrapos tentaram se incorporar aos governos da região platina, separando-se do Brasil.;58
218;4;B;os rio-grandenses valiam-se das idéias republicanas e federalistas dos vizinhos.;58
219;1;C;a Guerra dos Farrapos se insere nos processos políticos de luta pela independência nas antigas colônias espanholas e portuguesas.;58
220;5;D;a tradição do lenço vermelho remete aos processos de independência das províncias na parte sul da América.;58
221;1;A;o texto do historiador Amaral Lapa indica a pobreza como uma condição não imediatamente associada à classe social.;59
222;5;B;ambos os textos indicam estratégias de assistência que limitam-se a administrar a pobreza.;59
223;4;C;dados recentes indicam que aproximadamente 2,6 bilhões de pessoas vivem com uma renda de menos de US$ 2 por dia.;59
224;1;D;a reportagem revela um mapa da fome mundial e a distribuição desigual dos aportes financeiros.;59
225;1;A;os documentos se referem ao otimismo anterior à copa de 1950 e à derrota do Brasil para o Uruguai, no então recém inaugurado Maracanã, no Rio de Janeiro.;61
226;5;B;sediar a IV Copa do Mundo – a primeira Copa a ser realizada após a Segunda Guerra – e construir o Maracanã em tempo recorde são fatores que contribuíram para divulgar uma imagem ufanista da identidade nacional brasileira.;61
227;0;C;a televisão, da década de 1950, foi a responsável por tornar o futebol um esporte de massas no Brasil.;61
228;4;D;a extrema valorização do futebol pela mídia brasileira possibilita comparações desproporcionais como a derrota para o Uruguai ao evento de Hiroshima.;61
229;0;A;os mapas no século XVI tinham finalidade ilustrativa, por isso a presença de elementos artísticos em meio a informações do território.;62
230;1;B;o mapa apresenta, em 1593, um grande conhecimento europeu sobre o território americano devido à quantidade de informações nele contidas, como a nomeação de toda a costa litorânea e a descrição de costumes indígenas em terras brasileiras.;62
231;5;C;na elaboração do mapa, o registro de novas terras através de experiências adquiridas une-se a um repertório pré-existente de imagens fantásticas, num choque entre realidade e imaginação.;62
232;4;D;a ilustração do litoral povoado por monstros marinhos sugere a presença do imaginário europeu na identificação das inóspitas terras americanas.;62
233;1;A;a cama foi o estopim de um conflito judicial.;63
234;4;B;aos homens bons cabia o gerenciamento policial e judiciário da colônia, exercendo também o papel de representantes da ordem metropolitana.;63
235;0;C;o conflito revelava a precariedade do mobiliário e a de carpintaria no território colonial que, a partir de denúncia feita à Câmara de São Paulo, acabou tendo repercussão posterior, como mostra o poema de Mario de Andrade.;63
236;5;D;a “divertida” disputa judicial pela cama reflete os jogos de poder e hierarquia do Brasil colonial.;63
237;5;A;a cultura popular brasileira é utilizada no processo de formação de uma identidade nacional e, nesse processo, o samba e o carnaval são tomados como expressões genuínas dessa cultura.;64
238;0;B;o samba, o carnaval e a bossa nova são manifestações culturais populares e democráticas, pelas quais a identidade nacional é expressa e compartilhada de forma homogênea por todos.;64
239;4;C;o samba e o carnaval são produtos de uma cultura brasileira e como tais expressam as contradições de uma sociedade desigual.;64
240;1;D;na charge e na letra da música, a “madame” é caracterizada pela sua condição econômica e por sua cor.;64
241;5;A;as falas de Fernando Collor e Ulysses Guimarães demarcam um contraponto de atitudes, entre a velha classe política e a nova. Ulysses critica veementemente a ação econômica de Collor, quanto ao confisco do dinheiro da população brasileira, rememorando outro período da história nacional.;65
242;4;B;as falas expressam adjetivos que se referem à aparência e à jovialidade do Presidente Fernando Collor de Mello.;65
243;1;C;a maior parte das falas aborda a aparência física do presidente e, no plano do marketing político, relaciona a capacidade administrativa à juventude e à beleza.;65
244;5;D;Collor e Ulysses Guimarães haviam sido aliados na época das Diretas-Já.;65
245;4;A;a fotografia é uma referência ao lema integralista “Deus, Pátria e Família.”;66
246;0;B;a Ação Integralista Brasileira foi fundada por fascistas italianos no Brasil.;66
247;5;C;na imagem, a “família integralista” se sobrepõe à família definida pelos laços de sangue.;66
248;1;D;à exceção da noiva, o tema central da foto é masculino e integralista.;66
249;5;A;utiliza dados reais sobre o analfabetismo para construir uma metáfora sobre a distância entre a idéia de cidadania e seu exercício efetivo.;67
250;0;B;critica a Constituição Brasileira que não dá acesso a todos os indivíduos da nação.;67
251;1;C;demonstra que a grande maioria da população brasileira era analfabeta em 1876.;67
252;4;D;no trecho “Votam como vão à festa da Penha, - por divertimento” faz uma crítica à participação política da população brasileira do período.;67
253;1;A;segundo a autora francesa as principais características das brasileiras são a necessidade de demonstrar que mandam e a vergonha de mostrar que trabalham.;68
254;4;B;o documento possibilita a compreensão de parte da vida cotidiana do inicio do século XIX, já que nos permite visualizar a organização de uma rede de relações de trabalho.;68
255;0;C;o texto indica que os ganhos obtidos pelos escravos na cidade eram insignificantes.;68
256;5;D;é uma descrição movida pelo estranhamento que o olhar estrangeiro tem ante a organização do trabalho e a vida doméstica no Rio de Janeiro do século XIX.;68
257;1;A;o excerto traça um histórico da vida de Getúlio Vargas, que ingressou no cenário político nacional após a Revolução de 1930.;69
258;4;B;o autor critica o caráter pragmático da política adotada por Vargas.;69
259;5;C;segundo o excerto, o suicídio encobre num manto de esquecimento as contradições dos atos políticos praticados por Getúlio.;69
260;0;D;segundo o autor, Getúlio fora fiel ao State democrático de direito, chegando mesmo à prática do suicídio como forma de protesto e de defesa de tais ideais.;69
261;0;A;retratar indígenas do Brasil era proibido pelo governo português e pela Igreja durante o século XVI, por isso o artista do quadro O inferno preferiu não se identificar ou assinar a obra.;71
262;5;B;as duas imagens expressam pontos de vista diferentes sobre os indígenas na América portuguesa, mas, em ambas, há um ponto comum: os ameríndios aparecem estilizados, em contextos cristãos e retratados do ponto de vista do europeu.;71
263;4;C;no quadro Adoração dos magos, o indígena que substitui um dos reis magos, pode ser interpretado como a possibilidade de integração dos nativos à fé e à tradição cristãs.;71
264;1;D;no quadro O inferno, atributos indígenas no demônio, como o cocar, podem ser interpretados como uma associação entre a imagem dos índios e o mal.;71
265;1;A;os museus têm um caráter pedagógico que podem torná-los um importante auxílio no ensino de modo geral.;72
266;5;B;há uma clara diferença entre constituir acervos e coleções e comunicar esse acervo por meio de exposições para o público.;72
267;4;C;realizar processos de seleção e articular idéias em detrimento de outras faz parte do modo de funcionamento dos museus.;72
268;0;D;o texto defende que temas como nacionalismo, regionalismo e elementos da natureza não são temas pertinentes à prática do museu.;72
269;4;A;foi um movimento permeado pelas idéias iluministas que contestava o poder absoluto do rei.;73
270;1;B;estabelecia o fim da Monarquia como caminho para a liberdade.;73
271;0;C;afirmava o despotismo e a tirania do sistema monárquico, apontando a democracia plena e universal como alternativa desejável.;73
272;5;D;negava a divindade do Rei ao afirmar que o mesmo fora criado pelo povo.;73
273;4;A;os diferentes processos históricos vividos na região amazônica podem ser observados a partir de suas práticas culinárias.;74
274;1;B;os índios, os negros, as migrações internas e externas contribuíram para a formação da culinária amazônica ao longo de séculos.;74
275;0;C;o fato de os alimentos virem de diferentes origens prova que aquela região não tem uma cultura culinária própria.;74
276;5;D;a especificidade culinária da região amazônica sintetiza em si grandes marcos de exploração e expansão do território brasileiro.;74
